country,gdpGrowth
Argentina,2.50
Bolivia,4.20
Brazil,0.70
Chile,1.40
Colombia,1.70
Ecuador,0.20
Guyana,3.50
Paraguay,3.90
Peru,2.70
Suriname,-1.20
Uruguay,3.50
Venezuela,-12.00
